Organization,Email
Österreichische Nationalbibliothek,kinsky@kinsky-consulting.at
Gemeindeverband für Abgabeneinhebung und Umweltschutz im Bezirk Mödling,w.tippel@gvamoedling.at
Verein Österreichs E-Wirtschaft,adapter@kwr.at
Stadtgemeinde Mürzzuschlag,weber@geosys.at
Marktgemeinde Laxenburg,office@kb-partner.at
Gemeinde Hirm,"wutzlhofer@daxundpartner.at, wutzlhofer@daxundpartner.at"
"Marktgemeinde Kremsmünster, Rathausplatz 1, 4550 Kremsmünster",gemeinde@kremsmuenster.at
Vereinigte Bühnen Wien GmbH,ausschreibung@vbw.at
"Gemeinde Hochburg-Ach, Athalerstraße 3, 5122 Hochburg-Ach",gemeinde@hochburg-ach.ooe.gv.at
Wiener Gesundheitsförderung,christian.landsfried@wig.or.at
Vereinigte Bühnen Wien GmbH,
Abwasserverband Völkermarkt - Jaunfeld,
Deutsche Zentrale für Tourismus e.V.,svea.strahl@germany.travel
"Marktgemeinde St. Oswald bei Freistadt, Markt 80, 4271 St. Oswald b. Fr.",gemeinde@stoswald.at
GABL Gemeindeabfallverband Bezirk Bruck/Leitha,ztbuero@paikl.at
Marktgemeinde Stadl-Paura,st.anzengruber@stadl-paura.at
Energy Community Secretariat,marta.bromboszcz@energy-community.org
"Bundesministerium f. Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie (BMK)",
Österreich Wein Marketing GmbH,
Gemeinde St. Bernhard-Frauenhofen,wien@steinbacher.co.at
MAK- Österreichisches Museum für angewandte Kunst,gundi.esslinger@mak.at
Gemeinde Antau,wutzlhofer@daxundpartner.at
Marktgemeinde Wolfsbach,office@ikw-amstetten.at
Kammer für Arbeiter und Angestelte für Oberösterreich,
"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie (BMK) vormals Bundesministerium für Nachhaltigkeit und Tourismus (BMNT) im Vergabeverfahren vertreten durch die Österreichische Energieagentur - Austrian Energy Agency",
Wasserverband Mittleres Burgenland,a.zechmeister@pieler.co.at
Bundesministeriium für Finanzen,
Gemeinde Texingtal,st.gotthard@feuerwehr.gv.at
"Bundesministerium f., Finanzen",
Salzburger Abfallbeseitigung GmbH,r.prantl@blpgeo.at
"Stadt Wien - Unternehmung Wiener Krankenanstaltenverbund (""KAV"")",
COVID-19 Finanzierungsagentur des Bundes GmbH,Z.Ruzsikova@funk-austria.com
Marktgemeinde Karlstetten,gemeinde@karlstetten.gv.at
Bildungsdirektion für Steiermark,
Marktgemeinde Bad Goisern am Hallstättersee,helga.grampelhuber@bad-goisern.ooe.gv.at
COVID-19 Finanzierungsagentur des Bundes GmbH,
ABBAG — Abbaumanagementgesellschaft des Bundes,
Marktgemeinde Kirchberg am Wechsel,architekt@trimmel.co.at
Marktgemeinde Seewalchen am Attersee,manfred.binder@seewalchen.eu
Gemeinde Perwang am Grabensee,office@ibbzt.at
Monopolverwaltung GmbH,
Bundesministeriuim für Finanzen,
"Stadtgemeinde Schwaz, Franz-Josef-Straße 2, 6130 Schwaz",thomas@zot.co.at
Kärnten Werbung Marketing & Innovationsmanagement GmbH,kaernten@h-i-p.at
Gemeinde Ennsdorf,office@ikw-amstetten.at
"Versicherungsanstalt öffentlich Bediensteter, Eisenbahnen und Bergbau (BVAEB)",wolfgang.koeberl@bvaeb.sv.at
Gemeinde Feistritz am Wechsel,
COVID-19 Finanzierungsagentur des Bundes GmbH,katharina.trettnak-hahnl@kwr.at
AUTOBAHNEN- UND SCHNELLSTRASSEN FINANZIERUNGS AKTIENGESELLSCHAFT,heinzchristian.bruenner@asfinag.at
"Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport",office@terzaki.at
Verein LEADER Region Marchfeld,m.deubner@archland.at
Stadtgemeinde Stockerau,a.ehn@stockerau.gv.at
Großgemeinde Nickelsdorf,gemeinde@nickelsdorf.at
Reinhaltungsverband Region Neusiedlersee-Westufer,office@oestap.at
Marktgemeinde Hausleiten,kanzlei@zt-grand.at
Veterinärmedinzinische Universität Wien,christoph.zawieschitzky@vetmeduni.ac.at
"BHAK und BHAS I Klagenfurt, Kumpfgasse 21",bhak1-klu@bildung-ktn.gv.at
Österreichische Gesundheitskasse,wirtschaftswesen@oegk.at
"Gemeinde Lochen am See, Ringstraße 14, 5221 Lochen am See",gemeinde@lochen.ooe.gv.at
Marktgemeinde Kematen/Ybbs,office@ikw-amstetten.at
VERBUND HYDRO POWER GmbH,michael.diwis@verbund.com
Gemeinde Ramsau,gemeinde@ramsau.gv.at
Sanatorium Hera Krankenfürsorgeanstalt der Angestellten und Bediensteten der Stadt Wien,FM_SanHera@ic-group.org
VERBUND Green Power GmbH,
"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie (BMK), dieses im Vergabeverfahren vertreten durch die Österreichische Energieagentur - Austrian Energy Agency",thomas.bogner@energyagency.at
Stadtgemeinde Spittal an der Drau,stadt.spittal@spittal-drau.at
Republik Österreich,
Republik Österreich (Bund),
Krankenfürsorgeanstalt der Bediensteten der Stadt Wien,FM_SanHera@ic-group.org
"""Wiener Frauenhäuser"" - Soziale Hilfen für von Gewalt betroffene Frauen und ihre Kinder",vergabe@h-i-p.at
Marktgemeinde Wilhering,
Wiener Gesundheitsverbund,sscbetrieb@gesundheitsverbund.at
FF Gnadendorf,n13111@feuerwehr.gv.at
Stadtgemeinde Berndorf,wolfgang.buerger@noel.gv.at
Innsbrucker Soziale Dienste GmbH,office@a3jp.at
Österreichische Post AG,daniela.fuchs@post.at
Gemeinde Marz,
Lehrlingshäuser der Wirtschaftskammer Steiermark Betriebsgesellschaft mbH,heike.stark-sittinger@wkstmk.at
"Stadt Wien, Wiener Gesundheitsverbund",
Bundeshandelsakademie und Bundeshandelsschule Völkermarkt,bhak-voelk@bildung-ktn.gv.at
Höhere technische Bundeslehr- und Versuchsanstalt Villach,htbla-vill@bildung-ktn.gv.at
"Bundesministerium für Arbeit, Familie und Jugend",
Wiener Zeitung Digitale Publikationen GmbH,
Bundesminsterium Für Finanzen,
"Stadt Wien, Wiener Gesundheitsverbund",ged.inf@gesundheitsverbund.at
Facilitycomfort,josef.manhalter@facilitycomfort.at
Stadtgemeinde Leonding,Lucia.Schlager-Weidinger@leonding.at
Stadtgemeinde Waidhofen an der Thaya,p.hackl@schneider-consult.at
Gemeinde Winklarn,office@ikw-amstetten.at
Marktgemeinde Maria Enzersdorf,"infrastruktur@mariaenzersdorf.gv.at, info@pieler.co.at"
Marktgemeinde Klein-Pöchlarn,gemeindeamt@klein-poechlarn.gv.at
Stadtgemeinde Wolkersdorf im Weinviertel,post.wa3weinviertel@noel.gv.at
Marktgemeinde Bezau,office@rgpzt.at
WWF Österreich,"info@innsieme.org, unser-inn@wwf.at"
Wasserverband Leibnitzerfeld Süd,office@mach-partner.at
WIEN 3420 ASPERN DEVELOPMENT AG,seekante@kwr.at
Stadtgemeinde Mattighofen,
Bildungsdirektion für Steiermark,"sabine.habicht@bildung-stmk.gv.at, wid@bulme.at"
Stadtgemeinde Gallneukirchen,stadtgemeinde@gallneukirchen.ooe.gv.at
Marktgemeinde Gars am Kamp,kanzlei@zt-grand.at
Marktgemeinde Leiben,gerh.schweiger@aon.at
Nationalparks Austria,
"Marktgemeinde Hörsching, Neubaustraße 26, 4063 Hörsching",marcus.niederreiter@hoersching.at
"Gemeinde Hochburg-Ach, Athalerstraße 3, 5122 Hochburg-Ach",
"Marktgemeinde Wolfurt, Gemeinde Bildstein",office@rgpzt.at
Marktgemeinde Wolfurt,office@rgpzt.at
Marktgemeinde Großarl,sekretariat@gemeindegrossarl.at
Stadtgemeinde Amstetten,m.gratzer@amstetten.at
Marktgemeinde Mauterndorf,gemeinde@mauterndorf.gv.at
"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie vertreten durch das Amt der Niederösterreichischen Landesregierung, Gruppe Wasser – Abteilung Wasserwirtschaft (Abt. WA 2)",r.prantl@blpgeo.at
Marktgemeinde Tragwein,gemeinde@tragwein.ooe.gv.at
Gemeinde Rechberg,gemeindeamt@rechberg.ooe.gv.at
Salzburger Abfallbeseitigung GmbH,
Wasserleitungsverband der Triestingtal- und Südbahngemeinden,wlv@wlv-voeslau.at
Marktgemeinde Velden am Wörther See,christoph.strasser@integral-zt.at
Gemeindeverband Wasserversorgung Wolkersdorf-Pillichsdorf,office@kraner.at
"Stadtgemeinde Marchtrenk, Bearbeiter: Bmst. Ing. Richard Strauß",g.plattner@linzag.at
Marktgemeinde Bad Goisern am Hallstättersee,
Marktgemeinde Bad Goisern am Hallstättersee,gemeinde@bad-goisern.ooe.gv.at
Stammadresse,wirtschaft-finanz@bev.gv.at
Bildungsdirektion für Steiemark,sabine.habicht@bildung-stmk.gv.at
Stadtgemeinde Bad Ischl,info@stadtamt-badischl.at
Marktgemeinde Karlstetten,
Gemeinde Jeging,gemeinde@jeging.ooe.gv.at
Stammadresse,binder-zehetner@la21wien.at
"Fischer Beteiligungsverwaltungs GmbH., Fischerstraße 8, A-4910 Ried im Innkreis",f.noebauer@gruppewasser.at
WLV,office@kraner.at
Österr. Forschungsförderungsgesellschaft mbH,office@fsm.law
Marktgemeinde Schönkirchen-Reyersdorf,office@kraner.at
"Republik Österreich, vertreten durch die Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",wpa@wpa.at
Abschnittsfeuerwehrkommando Klosterneuburg,afk.klosterneuburg@feuerwehr.gv.at
Nationalfonds der Republik Österreich für Opfer des Nationalsozialismus,c.fritsch@nationalfonds.org
Gemeinde Holzhausen,gemeinde@holzhausen.ooe.gv.at
Marktgemeinde Hafnerbach,
Gemeinde Kasten bei Böheimkirchen,
Stadt St. Pölten,post.bd6@noel.gv.at
Finanzmarktaufsichtsbehörde (FMA),wiedrich@ztnoe.at
Finanzmarktaufsichtsbehörde (FMA),kerstin.heissig@fma.gv.at
Wiener Messe Besitz GmbH,114@heide-fritz.at
Finanzmarktaufsichtsbehörde (FMA),kerstin.heissig@fma.at
Kärnten Werbung Marketing & Innovationsmanagement GmbH,
Pöttinger Landtechnik GmbH,christoph.leopoldseder@poettinger.at
"""Wiener Frauenhäuser"" –  Soziale Hilfen für von Gewalt betroffene Frauen und ihre Kinder",
Awasserverband Wörthersee West,gerold.hebenstreit@elcon.at
Marktgemeinde Wolfsbach,gemeinde@wolfsbach.gv.at
Marktgemeinde Waizenkirchen,gemeinde@waizenkirchen.ooe.gv.at
Nationalfonds der Republik Österreich für Opfer des Nationalsozialismus,"c.fritsch@nationalfonds.org, s.oehler@nationalfonds.org"
Marktgemeinde Zwentendorf an der Donau,sh@maul-architekten.com
Freiwillige Feuerwehr Waidhofen/Thaya,post@ffwaidhofen.at
E-Beregnung Gerasdorf OG,klosterneuburg@ztg-lechner.com
WLV der Triestingtal- und Südbahngemeinden,office@kraner.at
Wien 3420 aspern Development AG,
0,
Marktgemeinde Oed-Oehling,office@ikw-amstetten.at
"Bundesministerium für Landwirtschaft, Regionen und Tourismus",
Verbund Energy4Business GmbH,
Marktgemeinde Maria Taferl,gemeindeamt@maria-taferl.gv.at
Gemeinde Behamberg,office@ikw-amstetten.at
Wasserleitungsverband der Tristingtal- und Südbahngemeinden,office@kraner.at
VERBUND AG,Mathias.Hofbauer@verbund.com
Gemeinde Wolfsgraben,office@kraner.at
Österr. Forschungsförderungsgesellschaft mbH,
Marktgemeinde Mailberg,erich.meinhart@zt-grand.at
Marktgemeinde Aggsbach,gemeindeamt@aggsbach.gv.at
ÖBB Personenverkehr AG,christian.pimiskern@pv.oebb.at
Stadtgemeinde Leibnitz,office@neger-ulm.at
Gemeinde Grafenschachen,office@ibl-zt.at
AMS Österreich,reinhold.gaubitsch@ams.at
Gemeindeverband für Abfallwirtschaft und Abgabeneinhebung im Verwaltungsbezirk Baden,h.ferschitz@gvabaden.at
"ÖBf AG, Nationalparkbetrieb Donau Auen",thomas.antel@poelzl.com
Österreichische Post AG,tobias.bernecker@post.at
Marktgemeinde Kirchschlag,office@kraner.at
Bildungsdirektion für Steiemark,
Energy Community Secretariat,
Freiwillige Feuerwehr Lehen,
Gemeinde Kronstorf,gemeinde@kronstorf.ooe.gv.at
Stadtgemeinde Bruck an der Leitha,n.korecky@wernerconsult.at
FF Weißes Kreuz,N21221@feuerwehr.gv.at
GAV Amstetten,office@ikw-amstetten.at
Verein Lokale Agenda 21 in Wien,binder-zehetner@LA21wien.at
Justizbetreuungsagentur,
Wasserleitungsverband Nördliches Burgenlkand,technik@wasserleitungsverband.at
WIEN 3420 ASPERN DEVELOPMENT AG,
Marktgemeinde Königstetten,eilenberger@koenigstetten.gv.at
Krankenhaus der Barmherzigen Brüder St. Veit an der Glan,krankenhaus@bbstveit.at
Marktgemeinde St.Gallen 8933 St.Gallen Markt 35,bm-schoenegger@aon.at
"Republik Österreich, vertreten durch das Bundesministerium für Klimaschutz, Umwelt , Energie, Mobilität, Innovation und Technologie, diese vertreten durch die Österreichische Energieagentur – Austrian Energy Agency, Mariahilfer Straße 136, 1150 Wien",
Bundesamt für Eich- und Vemessungswesen,
BG und BRG Völkermarkt,ingrid.lach@bildung-ktn.gv.at
Marktgemeinde Altmünster,gemeinde@altmuenster.ooe.gv.at
Freiwillige Feuerwehr Ollern,stefan.obermaisser@feuerwehr-ollern.at
Freiwillige Feuerwehr Waidhofen/Thaya,
EDA Energiewirtschaftlicher Datenaustausch GmbH,messengerdienst@kwr.at
Abfallwirtschaftsverbandes Liezen,
Marktgemeinde Klein-Pöchlarn,
Abwasserverband Wörthersee West,
Krankenhaus der Barmherzigen Brüder St. Veit an der Glan,office@horn-partner.at
Stadtgemeinde Leonding,
ICPDR Permanent Secretariat,adam.kovacs@icpdr.org
Gemeinde Roppen,"amtsleiter@roppen.tirol.gv.at, info@regio-imst.at"
Universität Innsbruck | Vergebende Stelle iSd § 2 Z 42 BVergG 2018,Wolfgang.Lentsch@uibk.ac.at
Gemeinde Reinsberg,gemeinde@reinsberg.at
Med. Zentrallaboratorium Gesellschaft mbH,
Österreichisches Patentamt,marcus.ernst@patentamt.at
Medizinische Universität Innsbruck,Wolfgang.Lentsch@uibk.ac.at
"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technoligie",
ASFINAG,christian.albrecht@asfinag.at
Gemeinde Rietz,martin.perkhofer@gmx.net
"Gemeinde Redlham, Redlham 1, 4846 Redlham",gemeinde@redlham.ooe.gv.at
Marktgemeinde Großrußbach,office@kraner.at
Gemeindeverband für Abfallwirtschaft und Abgabeneinhebung im Verwaltungsbezirk Baden,
Österreichische Akademie der Wissenschaften / Österreichisches Archäologisches Institut,
Stadtgemeinde Klosterneuburg,office@kienerconsult.at
Stadtgemeinde Leibnitz,
Asfinag Bau Managment GmbH (St. Pölten),christian.siebenhoferl@asfinag.at
Wirtschaftskammer Österreich,julia.weiss@gmx.at
"Bundesministerium für Kunst, Kultur, öffentl. Dienst und Sport",office@terzaki.at
Straßengenossenschaft Hofweg-Schruns,gerald.vonbank@schruns.at
International Commission of the Danube River ICPDR,adam.kovacs@icpdr.org
Gemeinde Volders,c.hueber@ingfh.com
VERBUND Energy4Businsess GmbH,
Marktgemeinde Brunn am Gebirge,gemeinde@brunnamgebirge.gv.at
Wiener Gesundheitsverbund,ged.inf@gesundheitsverbund.at
"Marktgemeinde Gunskirchen, Marktplatz 1, 4623 Gunskirchen",office@architektur-scheutz.at
Marktgemeinde Waizenkirchen,
Stadtgemeinde Gallneukirchen,
"Auftraggeber (AG) ist die Republik Österreich, vertreten durch die Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie, Abteilung V/3, vertreten durch den Landeshauptmann von Oberösterreich, vertreten durch  die Abteilung Anlagen-, Umwelt- und Wasserrecht","f.noebauer@gruppewasser.at, office@gruppewasser.at"
Gemeinde Kematen/Kr. Linzerstraße 30,"christoph.schuetzenhofer@kematen-krems.ooe.gv.at, erwin.schinagl@fhce.at, karin.rieger@fhce.at"
"Bundesministerium für Landwirtschaft, Regionen und Tourismus (BMLRT)",
"Land Niederösterreich, vertreten durch das Amt der Niederösterreichischen Landesregierung, Abteilung Gebäudeverwaltung (LAD3)",
Krankenfürsorgeanstalt der Bediensteten der Stadt Wien,
RHV Trumerseen,office@rhv.trumerseen.at
Marktgemeinde Euratsfeld,office@ikw-amstetten.at
"Amt der NÖ Landesregierung, Abteilung Schulen K4",post.bd6@noel.gv.at
Marktgemeinde Ollersdorf i. Bgld.,post@ollersdorf.bgld.gv.at
Bund,
Universität Salzburg,
OeAD-GmbH- Agentur für Bildung und Internationalisierung (Austria's Agency for Education and Internationalisation),
Österreichische Notariatskammer,
Marktgemeinde Harmannsdorf,office@kraner.at
Republik Österreich  (Bund),
Stadtgemeinde Bad Ischl,
FF Königsberg,walter.schwarz@kuk.com
Marktgemeinde Tulbing,r.klug@tulbing.gv.at
BUNDESMINISTERIUM FÜR LANDESVERTEIDIGUNG,ka.1@bmlv.gv.at
Marktgemeinde Gumpoldskirchen,
Energie Gusental GmbH,gemeinde@st-georgen-gusen.at
ARGE GRATKORN (VERBUND Hydro Power GmbH – Energie Steiermark Green Power GmbH),michael.diwis@verbund.com
Österr. Forschungsförderungsgesellschaft mbH,felicitas.zacherl@ffg.at
Landwirtschaftskammer Niederösterreich,
Austria Wirtschaftsservice Gesellschaft mbH,office@kanzlei-breitenfeld.at
Gemeinde Altenburg,kanzlei@zt-grand.at
Marktgemeinde Brunn am Gebirge,glv@brunnamgebirge.gv.at
Stadtgemeinde Enns,w.gurtner@enns.ooe.gv.at
"Stadtgemeinde Traismauer, Wiener Str. 8, 3133 Traismauer",blindenmarkt@ibl-zt.at
Niederösterreichische Landes-Landwirtschaftskammer Errichtungs- und Betriebsgesellschaft m.b.H.,office@kanzlei-breitenfeld.at
Gemeinde Patsch,pm1_fhp@cpm.conject.com
Stadtgemeinde Schärding,"markus.furtner@schaerding.ooe.gv.at, peter.geigle@fhce.at, karin.rieger@fhce.at"
Marktgemeinde Altmu¨nster,gemeinde@altmuenster.ooe.gv.at
Autobahnen- und Schnellstraßen- Finanzierungs Aktiengesellschaft,christian.siebenhofer@asfinag.at
Marktgemeinde Neuhofen a.d. Krems,gemeinde@neuhofen-krems.at
Freiwillige Feuerwehr Patzenthal,patzenthal@feuerwehr.gv.at
Marktgemeinde Ober-Grafendorf,bernd.bauer@ober-grafendorf.at
Marktgemeinde Wartberg an der Krems,office@neubaubuero.at
Stadtgemeinde Berndorf vertreten durch das Amt der NÖ Landesregierung Abteilung Wasserbau WA3,post.wa3@noel.gv.at
Marktgemeinde Großweikersdorf,gemeinde@grossweikersdorf.gv.at
Innsbrucker Soziale Dienste GmbH,h.innerebner@isd.or.at
"Republik Österreich (Bund), vertreten durch Bundesministerin für Digitalisierung und Wirtschaftsstandort",
Marktgemeinde Leopoldsdorf im Marchfelde,keckeis@steinbacher.co.at
Marktgemeinde St. Lambrecht,gde@st-lambrecht.gv.at
Stadtgemeinde Bischofshofen,obermoser@bischofshofen.at
"Verein ""Österreichs E-Wirtschaft""",
Gemeinde Telfs,pm1_ktm@cpm.conject.com
Stadtgemeinde Neusiedl am See,martin.marosits@ib-wachter.at
Caritas Österreich,karin.aistleitner@caritas-austria.at
"Marktgemeinde Baumgartenberg, Baumgartenberg 85, 4342 Baumgartenberg",gemeinde@baumgartenberg.ooe.gv.at
Marktgemeinde Feldkirchen an der Donau,office@feldkirchen-donau.at
Österreichische Gesundheitskasse,baubuero@oegk.at
Stadtgemeinde Knittelfeld,"gerald.schmid@knittelfeld.gv.at, bernd.rehschuetzecker@knittelfeld.gv.at"
Donau Niederösterreich Tourismus GmbH,peter.sigmund@donau.com
blp GeoServices GmbH; Standort Wien,r.prantl@blpgeo.at
Gemeinde Oslip,post@oslip.bgld.gv.at
Marktgemeinde Zwentendorf an der Donau,
Stammadresse,
Wien 3420 Aspern Development AG,seekante@kwr.at
Arbeitsmarktservice Österreich,ams.mabverg@ams.at
Kongresskultur Bregenz GmbH,
Verbund Energy4Business GmbH,kinga.kruzlics@verbund.com
Parlamentsdirektion,
Großglockner Hochalpenstraßen AG,noel@grossglockner.at
Freiwillige Feuerwehr Patzenthal,
Burgtheater GmbH,vergabe@h-i-p.at
Abfallwirtschaftsverband Murau,johannes.miedl@abfallwirtschaft.steiermark.at
Tirol Werbung GmbH,katrin.egger@TirolWerbung.at
RHV Großraum Eferding,office@wasserverband-eferding.at
KRAGES Burgenländische Krankenanstalten GesmbH,
Kraftwerk Brand GmbH,gemeinde@brand.at
Österreichische Energieagentur - Austrian Energy Agency,thomas.bogner@energyagency.at
Bad Radkersburger Quellen Ges.m.b.H.,office@gu-gmbh.com
ÖBf AG,hannes.marktl@bundesforste.at
VERBUND Energy4Business GmbH,kinga.kruzlics@verbund.com
"Land Niederösterreich, Amt der NÖ Landesregierung, Bundeswasserbauverwaltung Niederösterreich, Abteilung Wasserbau Regionalstelle Industrieviertel",office@zp-zt.at
Verein Lokale Agenda 21 in Wien,
Marktgemeinde Ollersdorf i. Bgld.,
"BG und BRG Ingeborg Bachmann, Ferdinand-Jergitsch-Straße 21, 9020, BHAK und BHAS Villach, F.-X.-Wirth-Straße 3, HtBLA Wolfsberg, Gartenstraße 1 Klagenfurt",bg-klu-bachmann@bildung-ktn.gv.at
"Gemeinde Niederneukirchen, Dorfplatz 1, 4491 Niederneukirchen",amtsleitung@niederneukirchen.ooe.gv.at
Energy Community Secretariat,Jon.Dika@energy-community.org
Marktgemeinde Aggsbach,
Marktgemeinde Pram,gemeinde@pram.at
Marktgemeinde Langau,franz.linsbauer@langau.at
AWV Eisenstadt Eisbachtal,thomas.koegler@awv-eisenstadt.at
Marktgemeinde Altmünster,amtsleitung@altmuenster.ooe.gv.at
Stadtgemeinde Schrems,f.herndler@schneider-consult.at
Marktgemeinde Altmu¨nster,
FF Kollmitzberg,Kollmitzberg@feuerwehr.gv.at
Österreichische Post AG,renate.schneider@post.at
Donau Niederösterreich Tourismus GmbH,
Marktgemeinde St. Margarethen,post@st-margarethen.at
Wien 3420 Aspern Development AG,
TVB Tiroler Oberland,office@kaunertal.com
Österr. Forschungsförderungsgesellschaft mbH,vergabeverfahren@fsm.law
"Republik Österreich, vertreten durch Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie, vertreten durch Landeshauptfrau von Niederösterreich, vertreten durch das Amt der NÖ Landesregierung, Abteilung Wasserwirtschaft",melanie.maltschnig@porr.at
Wiener Messe Besitz GmbH,michael.hotop@mbg.at
Wasserleitungsverband Nördliches Burgenlkand,
Abwasserverband Wörthersee West,gerold.hebenstreit@elcon.at
Gemeinde Berndorf bei Salzburg,haberl@berndorf.salzburg.at
Marktgemeinde Böheimkirchen,boeheimkirchen-markt@feuerwehr.gv.at
Marktgemeinde Vorchdorf,office@ikw-amstetten.at
Marktgemeinde Mautern in Steiermark,gde@mautern.steiermark.at
Finanzamt Österreich,
"Gemeinde Rüstorf, Rüstorf 1, 4690 Rüstorf",goebl@ruestorf.ooe.gv.at
Krankenhaus der Barmherzigen Brüder St. Veit an der Glan,
Bundesministerum Finanzen,
Deutsche Zentrale für Tourismus e.V.,alexandra.pfaff@germany.travel
Stadt St. Pölten,
Abfallwirtschaftsverband Murau,awv.murau@abfallwirtschaft.steiermark.at
Marktgemeinde Mondsee,gemeinde@mondsee.ooe.gv.at
GAV Mittlerer Weidenbach,office@kraner.at
Stadtgemeinde Zistersdorf,Hansjoerg.Luxbacher@noel.gv.at
BTF Berndorf Immobilien AG,N02404@feuerwehr.gv.at
wien 3420 aspern Development AG,vergabeb4@eylaw.at
Gemeinde Lech und Gemeinde Lech Service GmbH,office@breuss-maehr.at
Klima und Energiefonds,
Abfallwirtschaftsverband Murau,
Stadtgemeinde Herzogenburg,manfred.schuster@ig-prem.at
Gemeinde Kematen/Kr. Linzerstraße 30,
Marktgemeinde Pabneukirchen,haderer@pabneukirchen.ooe.gv.at
Schloß Schönbrunn Kultur- und Betriebsgesellschaft m.b.H.,mayr@schoenbrunn-group.com
Marktgemeinde Grafenbach - St. Valentin,N15216@feuerwehr.gv.at
Medizinische Universität Innsbruck,asita.djanani@i-med.ac.at
Cryptoagri GmbH (in Gründung),office@kanzlei-breitenfeld.at
Stadtgemeinde Mautern an der Donau,office@ra-wiese.at
"Republik Österreich, vertreten durch  Bundesministerin für Digitalisierung und  Wirtschaftsstandort",post.vergaben@bmdw.gv.at
blp GeoServices GmbH; Standort Wien,
Freiwillige Feuerwehr Loipersbach,Loipersbach@feuerwehr.gv.at
"Republik Österreich (Bund), vertreten durch die Bundesministerin für Digitalisierung und Wirtschaftsstandort",POST.Vergaben@bmdw.gv.at
Gemeinde Piberbach,mitterbaur@piberbach.ooe.gv.at
ASFINAG Bau Management GmBH,
Marktgemeinde Hornstein,post@hornstein.bgld.gv.at
Verein für Konsumenteninformatiuon,vergabe@h-i-p.at
ÖBB Personenverkehr AG,helena.horvat@pv.oebb.at
Gemeinde Pichl b. Wels,gemeinde@pichl.ooe.gv.at
Gesundheit Österreich GmbH,
OeAD-GmbH -  Agentur für Bildung und Internationalisierung,
Gemeindeverband für Abfallwirtschaft im Raum Schwechat,info@avschwechat.at
Wasserverband Wulkatal,zara@wv-wulkatal.at
"COVID-19 Finanzierungsagentur des Bundes - COFAG, Taborstraße 1-3, OG 14, 1020 Wien",
Veterinärmedizinische Universität Wien,christoph.zawisechitzky@vetmeduni.ac.at
Wasserleitungsverband Nördliches Burgenland,office@kraner.at
Austria Wirtschaftsservice Gesellschaft mbH,
Magistrat der Stadt Krems,g.pachschwoell@schneider-consult.at
Gemeinde Brand,office@breuss-maehr.at
Gemeinde Marz,post@marz.bgld.gv.at
OeMAG Abwicklungsstelle für Ökostrom AG,
Verein Tiroler Landesmuseum Ferdinandeum,
BG und BRG St. Veit a.d. Glan,bg-stveit-dir@bildung-ktn.gv.at
Freiwillige Feuerwehr Kronberg,kronberg@feuerwehr.gv.at
SVS Gesundheitszentrum Betriebs-GmbH,
Kongresskultur Bregenz GmbH,rebecca.boss@kongresskultur.com
Bundesamt für Eich- und Vermessungswesen,christoph.pfeiffer@bev.gv.at
BHAK und BHAS Spittal a.d. Drau,office@hakspittal.at
Verein Bucklige Welt Regionalentwicklung,
Donau Chemie Aktiengesellschaft,office@kanzlei-breitenfeld.at
Österreichische Forsch8ungsförderungsgesellschaft mbH,
Gemeinde Grafenschachen,post@grafenschachen.bgld.gv.at
Gasteiner Alpenstraße GmbH,office@gasteiner-alpenstrasse.at
"Regionalmanagement Bezirk Imst, stellvertretend für die Pitztaler Gemeinden St. Leonhard im Pitztal, Wenns, Jerzens und Arzl im Pitztal",info@regio-imst.at
Gemeinde Ungenach,gemeinde@ungenach.ooe.gv.at
Wiener Gesundheitsförderung gemeinnützige GmbH,Christian.landsfried@wig.or.at
Republik Österreich,"vergabe@h-i-p.at, vergabe@h-i-p.at"
Christian Doppler Forschungsgesellschaft,
Österreichische Beteiligungs AG,vergabe@oebag.gv.at
BTF Berndorf Immobilien AG,
Gemeinde St. Egyden am Steinfeld,office@ibl-zt.at
"Bundesministerium für Bildung, Wissenschaft und Forschung",bernhard.koch@bmbwf.gv.at
"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie (BMK)",silvia.neumann@bmk.gv.at
GV Marbach / Klein-Pöchlarn,gemeinde@marbach-donau.gv.at
Gemeinde Schönau im Mühlkreis,gemeinde@schoenau-im.at
Stadtgemeinde Attnang-Puchheim,stadtamt@attnang-puchheim.ooe.gv.at
Bund vertreten durch die Bundesministerin für Digitalisierung und Wirtschaftsstandort,
Verein Lokale Agenda 21 in Wien,halkic@la21wien.at
Verbund AG,
